Accreditation code,Power station name,State,Postcode,Installed capacity (MW),Fuel Source (s),Accreditation start date,Approval date,lat,lng,lga,city,state_std,postcode,country,formatted_address,query_used
SRPVWAN7,Armadale Shopping Centre 700kW,WA,6112,0.704,Solar,2025-04-14,2025-05-15,-32.1515645,116.0140386,Armadale,City of Armadale,Western Australia,6112.0,Australia,"Armadale WA 6112, Australia","Armadale Shopping Centre 700kW, Western Australia, Australia"
SRPYNS74,AU876 Rosehill Industrial Estate,NSW,2142,0.764,Solar,2025-02-14,2025-05-15,-33.8239653,151.0212029,Rosehill,City of Parramatta Council,New South Wales,2142.0,Australia,"Rosehill NSW 2142, Australia","AU876 Rosehill Industrial Estate, New South Wales, Australia"
SRPYNSA6,Mayfield Aged Care,NSW,2304,0.192,Solar,2025-04-28,2025-05-15,-32.8950287,151.7406396,Mayfield,Newcastle City Council,New South Wales,2304.0,Australia,"115 Crebert St, Mayfield NSW 2304, Australia","Mayfield Aged Care, New South Wales, Australia"
SRPYNS95,Westrac Tomago,NSW,2322,1.663,Solar,2025-04-08,2025-05-15,-32.8235341,151.7517645,Tomago,Port Stephens Council,New South Wales,2287.0,Australia,"Gate 3/1 WesTrac Drive, Tomago NSW 2287, Australia","Westrac Tomago, New South Wales, Australia"
SRPYNS63,Wollar Solar Farm,NSW,2850,346.248,Solar,2025-01-17,2025-05-15,-32.407631,149.9407365,Wollar,Mid-Western Regional Council,New South Wales,2850.0,Australia,"HWVR+2F, Wollar NSW 2850, Australia","Wollar Solar Farm, New South Wales, Australia"
SRPXQLI9,NEUMANN STEEL 1,QLD,4223,1.517,Solar,2025-04-22,2025-05-20,-28.1480302,153.4690662,Currumbin,City of Gold Coast,Queensland,4223.0,Australia,"13 Nuban St, Currumbin QLD 4223, Australia","NEUMANN STEEL 1, Queensland, Australia"
SRPYNSA8,St Gregory's College Hall,NSW,2557,0.199,Solar,2025-05-02,2025-05-20,-34.0396755,150.7871124,Gregory Hills,City of Campbelltown,New South Wales,2557.0,Australia,"100 Badgally Rd, Gregory Hills NSW 2557, Australia","St Gregory's College Hall, New South Wales, Australia"
BEBGNS39,St Marys Sewage Treatment,NSW,2760,1.7,Sewage Gas and Biomass-Based Components of Sewage,2025-01-09,2025-05-20,-33.769979,150.7734575,Saint Marys,,New South Wales,2760.0,Australia,"St Marys NSW 2760, Australia","St Marys Sewage Treatment, New South Wales, Australia"
SRPYNSA7,Wentworthville Leagues Club Ltd,NSW,2145,0.23,Solar,2025-05-02,2025-05-20,-33.8072579,150.9692876,Wentworthville,,New South Wales,2145.0,Australia,"Wentworthville NSW 2145, Australia","Wentworthville Leagues Club Ltd, New South Wales, Australia"
SRPYNSB1,Wentworthville Leagues Club Ltd System 2,NSW,2145,0.23,Solar,2025-05-05,2025-05-20,-33.8072579,150.9692876,Wentworthville,,New South Wales,2145.0,Australia,"Wentworthville NSW 2145, Australia","Wentworthville Leagues Club Ltd System 2, New South Wales, Australia"
